2026-08-13T00:53:32-05:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-13T00:53:32-05:00 keepalive loop interval=300s
2026-08-13T11:33:44-05:00 starting MetaTrader 5 after shutdown/logon
2026-08-13T11:33:54-05:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-13T11:33:54-05:00 optimizer supervisor down; starting
2026-08-13T11:33:54-05:00 keepalive loop interval=300s
2026-08-13T11:34:05-05:00 keepalive loop interval=300s
2026-08-13T13:55:40-05:00 keepalive loop interval=1200s
2026-08-13T14:00:57-05:00 keepalive loop interval=1200s
2026-08-14T18:31:49-05:00 optimizer supervisor down; starting
2026-08-18T01:46:28-05:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-18T02:06:31-05:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-18T02:46:36-05:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-20T00:05:02+01:00 missing venv python: C:\Users\Zaid barghouthi\Desktop\trading_bot\bot\.venv\Scripts\python.exe
2026-08-20T00:06:06+01:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-20T00:06:06+01:00 optimizer supervisor down; starting
2026-08-20T00:28:26+01:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-20T00:28:26+01:00 optimizer supervisor down; starting
2026-08-21T08:43:33+01:00 starting MetaTrader 5 after shutdown/logon
2026-08-21T08:43:39+01:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-21T08:43:39+01:00 optimizer supervisor down; starting
2026-08-21T08:43:40+01:00 keepalive loop interval=1200s
2026-08-21T08:43:54+01:00 optimizer supervisor down; starting
2026-08-21T08:43:54+01:00 keepalive loop interval=1200s
2026-08-21T09:03:41+01:00 optimizer supervisor down; starting
2026-08-21T09:23:43+01:00 optimizer supervisor down; starting
2026-08-21T09:43:44+01:00 optimizer supervisor down; starting
2026-08-21T10:03:46+01:00 optimizer supervisor down; starting
2026-08-21T10:23:47+01:00 optimizer supervisor down; starting
2026-08-21T10:43:48+01:00 optimizer supervisor down; starting
2026-08-21T10:49:29+01:00 optimizer supervisor down; starting
2026-08-21T11:03:50+01:00 optimizer supervisor down; starting
2026-08-21T11:23:51+01:00 optimizer supervisor down; starting
2026-08-21T11:43:53+01:00 optimizer supervisor down; starting
2026-08-21T12:03:54+01:00 optimizer supervisor down; starting
2026-08-21T12:23:55+01:00 optimizer supervisor down; starting
2026-08-21T12:43:57+01:00 optimizer supervisor down; starting
2026-08-21T13:03:58+01:00 optimizer supervisor down; starting
2026-08-21T13:24:00+01:00 optimizer supervisor down; starting
2026-08-21T13:44:01+01:00 optimizer supervisor down; starting
2026-08-21T14:04:02+01:00 optimizer supervisor down; starting
2026-08-21T14:24:04+01:00 optimizer supervisor down; starting
2026-08-21T14:44:05+01:00 optimizer supervisor down; starting
2026-08-21T15:04:06+01:00 optimizer supervisor down; starting
2026-08-21T15:24:08+01:00 optimizer supervisor down; starting
2026-08-21T15:44:09+01:00 optimizer supervisor down; starting
2026-08-21T16:04:11+01:00 optimizer supervisor down; starting
2026-08-21T16:24:12+01:00 optimizer supervisor down; starting
2026-08-21T16:44:13+01:00 optimizer supervisor down; starting
2026-08-21T17:51:07+01:00 starting MetaTrader 5 after shutdown/logon
2026-08-21T17:51:09+01:00 paper runner down; starting config_mt5_demo_firehose_hw.yaml
2026-08-21T17:51:09+01:00 optimizer supervisor down; starting
2026-08-21T17:51:09+01:00 keepalive loop interval=1200s
2026-08-21T17:51:21+01:00 optimizer supervisor down; starting
2026-08-21T17:51:27+01:00 optimizer supervisor down; starting
2026-08-21T17:51:27+01:00 keepalive loop interval=1200s
2026-08-21T18:11:12+01:00 optimizer supervisor down; starting
2026-08-21T18:11:29+01:00 optimizer supervisor down; starting
2026-08-21T18:31:13+01:00 optimizer supervisor down; starting
2026-08-21T18:31:31+01:00 optimizer supervisor down; starting
2026-08-21T18:51:15+01:00 optimizer supervisor down; starting
2026-08-21T18:51:32+01:00 optimizer supervisor down; starting
2026-08-21T19:11:17+01:00 optimizer supervisor down; starting
2026-08-21T19:11:34+01:00 optimizer supervisor down; starting
2026-08-21T19:31:18+01:00 optimizer supervisor down; starting
2026-08-21T19:31:35+01:00 optimizer supervisor down; starting
2026-08-21T19:51:20+01:00 optimizer supervisor down; starting
2026-08-21T19:51:36+01:00 optimizer supervisor down; starting
2026-08-21T20:11:21+01:00 optimizer supervisor down; starting
2026-08-21T20:11:38+01:00 optimizer supervisor down; starting
2026-08-21T20:31:23+01:00 optimizer supervisor down; starting
2026-08-21T20:31:39+01:00 optimizer supervisor down; starting
2026-08-21T20:51:24+01:00 optimizer supervisor down; starting
2026-08-21T20:51:41+01:00 optimizer supervisor down; starting
2026-08-21T21:11:25+01:00 optimizer supervisor down; starting
2026-08-21T21:11:42+01:00 optimizer supervisor down; starting
2026-08-21T21:31:27+01:00 optimizer supervisor down; starting
2026-08-21T21:31:43+01:00 optimizer supervisor down; starting
2026-08-21T21:51:28+01:00 optimizer supervisor down; starting
2026-08-21T21:51:45+01:00 optimizer supervisor down; starting
2026-08-21T22:11:29+01:00 optimizer supervisor down; starting
2026-08-21T22:11:46+01:00 optimizer supervisor down; starting
2026-08-21T22:31:31+01:00 optimizer supervisor down; starting
2026-08-21T22:31:47+01:00 optimizer supervisor down; starting
2026-08-21T22:51:32+01:00 optimizer supervisor down; starting
2026-08-21T22:51:49+01:00 optimizer supervisor down; starting
2026-08-21T23:11:34+01:00 optimizer supervisor down; starting
2026-08-21T23:11:50+01:00 optimizer supervisor down; starting
2026-08-21T23:31:35+01:00 optimizer supervisor down; starting
2026-08-21T23:31:51+01:00 optimizer supervisor down; starting
2026-08-21T23:51:37+01:00 optimizer supervisor down; starting
2026-08-21T23:51:53+01:00 optimizer supervisor down; starting
2026-08-22T00:11:38+01:00 optimizer supervisor down; starting
2026-08-22T00:11:54+01:00 optimizer supervisor down; starting
2026-08-22T00:31:40+01:00 optimizer supervisor down; starting
2026-08-22T00:31:56+01:00 optimizer supervisor down; starting
2026-08-22T00:51:41+01:00 optimizer supervisor down; starting
2026-08-22T00:51:57+01:00 optimizer supervisor down; starting
2026-08-22T01:11:42+01:00 optimizer supervisor down; starting
2026-08-22T01:11:58+01:00 optimizer supervisor down; starting
2026-08-22T01:31:44+01:00 optimizer supervisor down; starting
2026-08-22T01:32:00+01:00 optimizer supervisor down; starting
2026-08-22T02:11:47+01:00 optimizer supervisor down; starting
2026-08-22T02:12:02+01:00 optimizer supervisor down; starting
2026-08-22T02:31:48+01:00 optimizer supervisor down; starting
2026-08-22T02:32:04+01:00 optimizer supervisor down; starting
2026-08-22T02:51:49+01:00 optimizer supervisor down; starting
2026-08-22T02:52:05+01:00 optimizer supervisor down; starting
2026-08-22T03:11:51+01:00 optimizer supervisor down; starting
2026-08-22T03:12:06+01:00 optimizer supervisor down; starting
2026-08-22T03:31:52+01:00 optimizer supervisor down; starting
2026-08-22T03:32:08+01:00 optimizer supervisor down; starting
2026-08-22T03:51:54+01:00 optimizer supervisor down; starting
2026-08-22T03:52:09+01:00 optimizer supervisor down; starting
2026-08-22T04:11:55+01:00 optimizer supervisor down; starting
2026-08-22T04:12:10+01:00 optimizer supervisor down; starting
2026-08-22T04:31:56+01:00 optimizer supervisor down; starting
2026-08-22T04:32:12+01:00 optimizer supervisor down; starting
2026-08-22T04:51:58+01:00 optimizer supervisor down; starting
2026-08-22T04:52:13+01:00 optimizer supervisor down; starting
2026-08-22T05:11:59+01:00 optimizer supervisor down; starting
